country1,country2,weight
Sweden,la,512
pt,Netherlands,244
ht,China,12
war,sr,31
sr,ja,11
ja,pl,60
France,tr,71
Canada,tr,71
Netherlands,France,351
Netherlands,Canada,351
Netherlands,pl,154
azb,no,18
USA,nn,66
Canada,nn,66
Spain,sl,11
Mexico,sl,11
sl,war,23
China,cs,37
cs,ru,48
USA,no,289
Canada,no,289
pl,ja,81
ja,France,156
ja,Canada,156
France,nn,40
Canada,nn,40
nn,Sweden,30
Sweden,hr,10
hr,fi,9
fi,simple,18
lb,ru,18
USA,it,514
Canada,it,514
Netherlands,ru,108
fa,arz,41
no,ar,61
Spain,pt,268
Mexico,pt,268
France,ceb,43
Canada,ceb,43
ceb,Spain,123
ceb,Mexico,123
la,Sweden,248
Sweden,sq,12
de,frp,10
Spain,nn,20
Mexico,nn,20
Sweden,it,149
it,uk,74
fi,hu,16
hu,ru,68
ru,tg,9
Netherlands,fy,21
fy,id,13
Sweden,nds_nl,7
nds_nl,France,15
nds_nl,Canada,15
vo,li,17
li,eo,16
eo,ro,38
ro,stq,8
stq,ms,20
ms,ca,186
war,eu,130
eu,ja,8
ar,no,21
ga,fa,38
fa,China,72
China,fi,41
fi,az,6
fi,ru,73
USA,et,34
Canada,et,34
et,Sweden,16
Sweden,pl,144
pl,fa,77
uk,hy,29
hy,it,27
it,cs,64
cs,ka,12
USA,uk,142
Canada,uk,142
sk,USA,42
sk,Canada,42
ca,la,23
de,fa,83
de,ga,49
gd,it,17
fa,eu,46
USA,war,208
Canada,war,208
de,tr,78
ceb,USA,280
ceb,Canada,280
pt,pl,242
tr,ru,35
ru,France,233
ru,Canada,233
France,ca,102
Canada,ca,102
it,ca,89
France,Sweden,148
Canada,Sweden,148
fi,ka,7
ka,no,7
ko,ar,41
ar,arz,30
it,de,269
lb,ca,13
ca,cs,31
cs,Spain,69
cs,Mexico,69
simple,France,33
simple,Canada,33
Sweden,war,7
China,szl,5
ja,ka,8
sh,he,5
he,gl,5
gl,ko,9
cs,azb,7
uk,sk,12
ru,war,27
war,ka,6
ka,France,24
ka,Canada,24
uk,ar,47
ar,fa,65
de,lt,58
lt,Netherlands,24
Netherlands,tr,35
war,vi,29
vi,ms,22
Spain,la,8
Mexico,la,8
ka,de,5
de,China,183
China,be,17
be_x_old,lt,6
lt,ru,44
fa,hu,12
hu,ar,21
Sweden,USA,157
Sweden,Canada,157
de,he,50
war,ko,15
ko,pl,26
pl,pnb,5
el,pt,16
pt,hu,51
th,it,11
fi,fa,30
fa,uk,33
uk,id,17
kk,my,5
de,ml,6
China,pl,135
id,Spain,73
id,Mexico,73
ja,pt,50
war,eml,26
eml,ms,22
ms,ia,95
ia,ar,129
ar,la,47
ro,bg,14
