country1,country2,weight
gl,id,12
ms,nn,9
os,uk,6
an,fa,5
fa,sq,6
ka,br,12
hr,no,7
gd,de,24
China,sw,5
sco,Sweden,6
USA,lb,14
Canada,lb,14
it,gd,13
be,China,11
gl,eu,8
nn,pl,24
be,de,9
cs,da,14
gd,uk,9
cy,Sweden,8
Netherlands,eu,16
gl,is,5
is,Netherlands,8
pl,gl,12
th,fi,5
Spain,kw,8
Mexico,kw,8
ro,war,6
USA,kw,5
Canada,kw,5
tl,tg,9
it,kw,5
kw,ko,5
sr,la,8
la,pl,11
kw,war,5
gl,Netherlands,5
hy,gl,11
bs,ru,7
el,cs,12
eu,an,5
an,France,15
an,Canada,15
vi,ca,7
uk,ia,12
pl,sco,12
eu,sl,5
br,ar,7
ja,bo,9
bo,ko,20
vi,no,12
sl,ca,8
cs,oc,6
ru,oc,6
tl,la,8
uk,an,5
oc,pl,6
he,ru,17
France,an,6
Canada,an,6
an,gl,6
gl,war,6
bg,ar,14
Spain,tl,10
Mexico,tl,10
hi,eu,7
sco,de,6
oc,de,8
pl,la,15
France,gd,12
Canada,gd,12
cs,gd,6
vi,hr,5
sl,lt,5
Spain,sw,9
Mexico,sw,9
hu,cy,5
fi,war,11
fa,br,5
br,hy,5
az,be,6
cs,vi,5
lb,Spain,6
lb,Mexico,6
hr,Spain,13
hr,Mexico,13
tr,th,5
id,nn,7
France,wuu,5
Canada,wuu,5
gl,ar,10
lb,cs,7
sk,et,5
simple,hi,6
bn,ps,5
pnb,az,5
az,tl,11
koi,China,11
pms,Spain,6
pms,Mexico,6
et,la,35
de,zh_yue,10
tr,lv,7
bn,ar,9
it,cy,7
ko,el,6
sk,no,8
su,jv,6
pnb,ur,5
de,oc,8
pt,la,6
gl,no,6
cy,ro,5
ar,el,10
el,br,5
eu,la,14
simple,ms,14
sah,lv,5
lv,sco,6
zh_yue,hy,10
als,Spain,8
als,Mexico,8
China,ta,5
hu,jv,6
jv,id,12
fi,gl,6
sr,af,5
th,sw,13
mk,lt,8
war,yo,5
yo,ka,9
be_x_old,arz,5
la,szl,6
lb,Netherlands,5
ja,ml,6
ms,eu,51
ru,os,9
bg,mk,7
pl,be_x_old,11
cy,tr,7
war,Sweden,8
Spain,hy,6
Mexico,hy,6
ka,et,8
br,ru,5
da,et,5
nds,gl,8
ur,tr,6
jv,ts,5
stq,pnb,5
war,hy,6
tr,vi,17
sk,he,5
hy,ba,5
ko,hu,11
be,az,5
cs,gl,8
cy,China,9
jv,Netherlands,9
France,tl,12
Canada,tl,12
wuu,it,6
ml,simple,5
lb,eo,6
de,tl,11
sl,sh,12
Sweden,tl,17
ar,war,6
hak,Sweden,9
tl,ms,10
is,ca,5
fa,my,8
my,Spain,5
my,Mexico,5
pt,gd,8
ml,France,5
ml,Canada,5
bug,sl,13
be_x_old,pl,5
mrj,ca,5
USA,be_x_old,7
Canada,be_x_old,7
simple,eu,6
tr,zh_yue,5
ca,lv,6
be,no,9
eo,be_x_old,9
gd,simple,10
Netherlands,simple,14
la,sl,5
az,tr,12
fa,la,6
lv,fi,5
Sweden,hi,6
de,bs,11
fi,hy,11
vo,no,5
fa,eo,8
ms,ko,8
de,azb,5
ja,lt,12
cs,mr,6
vi,eo,5
yo,az,6
bug,de,11
pnb,France,6
pnb,Canada,6
pnb,pt,9
ja,sr,7
pnb,uk,5
USA,wuu,8
Canada,wuu,8
yo,no,6
br,gl,5
sh,ja,8
hy,nn,5
ht,ro,7
he,no,6
id,map_bms,16
az,eo,14
vi,bg,5
et,ro,13
ro,nds,5
eu,bug,7
wuu,fa,5
da,vi,5
vi,hi,8
ko,bo,10
bo,pnb,9
bo,France,8
bo,Canada,8
fi,eo,12
azb,simple,9
de,bo,9
eu,simple,7
nn,cy,13
China,cy,6
ca,hr,12
nds,nn,5
arz,sl,5
USA,gv,5
Canada,gv,5
zh_yue,USA,8
zh_yue,Canada,8
sw,uk,6
lv,az,6
USA,zh_yue,10
Canada,zh_yue,10
Spain,zh_yue,5
Mexico,zh_yue,5
zh_yue,ja,12
zh_yue,China,6
th,id,14
be_x_old,it,6
tl,lt,7
mk,ar,7
vi,yo,7
zh_yue,sco,9
af,ms,5
vep,sco,5
vi,bn,5
bn,Spain,6
bn,Mexico,6
Sweden,ms,7
da,he,5
br,nds,5
lv,tr,7
mrj,ms,6
azb,min,5
diq,sw,5
pnb,ar,10
diq,pnb,5
eo,mk,8
el,yo,6
gl,USA,20
gl,Canada,20
tr,hi,5
ar,mr,5
el,sr,9
it,az,13
az,el,5
eo,lv,5
ru,cy,15
an,eu,5
ur,hr,6
bn,tg,5
xal,bjn,6
ce,su,10
su,or,5
xmf,jam,7
jam,wuu,5
wuu,kbp,5
bs,ca,11
sk,sr,10
ar,nds,6
simple,lv,5
sco,hy,12
uk,vi,21
br,ceb,17
it,ht,9
gl,hy,5
sk,id,5
uk,ta,5
pa,pnb,5
vi,fi,5
lb,tr,6
be,ka,7
vi,lv,5
hy,mk,5
mk,sl,5
fi,ht,8
fi,hr,6
hr,az,5
vep,st,5
lb,hy,5
simple,id,9
el,lt,6
th,lv,5
et,ar,5
az,fa,8
fa,da,7
da,th,7
ur,hy,9
France,pnb,5
Canada,pnb,5
de,az,12
hr,vi,5
hu,eu,9
az,uk,9
az,kk,7
ko,azb,5
simple,arz,5
cy,ko,6
zh_yue,ga,6
br,Sweden,10
ar,ur,6
el,Sweden,6
br,id,13
ca,ast,6
nds,ko,9
el,be,6
ja,tg,5
lv,lt,10
ru,zh_yue,7
no,la,8
id,el,5
nds,vi,5
lv,sl,6
ku,pl,7
pt,lv,13
cy,Netherlands,7
bn,tr,5
de,mk,8
mk,sh,5
oc,ru,6
se,simple,5
mrj,diq,7
hu,nds,5
szl,bg,5
lt,he,9
eo,vi,9
nn,el,8
ro,el,7
th,ca,6
sh,ilo,5
ilo,qu,6
azb,pt,5
lt,th,5
ko,pnb,9
Netherlands,lb,6
qu,ro,7
no,ka,9
lt,sk,7
fi,sk,9
tr,sr,10
hy,ml,5
hu,lv,5
ky,lb,6
be_x_old,uk,7
France,tt,6
Canada,tt,6
mk,sr,7
cy,sh,6
hi,mk,8
yo,uk,5
hy,gu,7
ilo,pl,5
Sweden,bug,6
ceb,it,7
cbk_zam,pag,16
pag,bcl,13
pam,Sweden,22
de,bcl,6
he,el,6
eu,hr,5
he,sr,7
be_x_old,mk,5
bar,Spain,5
bar,Mexico,5
et,el,5
la,is,5
bs,ro,5
mk,ka,5
ky,ko,5
eu,cs,7
el,bs,7
nn,be,5
de,tg,13
et,he,7
is,ur,5
cy,pt,5
fa,pnb,6
pnb,sco,5
da,sr,6
sl,ka,5
bug,pt,10
ml,ar,5
mk,USA,5
mk,Canada,5
bg,cy,5
ko,lb,5
ru,crh,9
be,Sweden,7
gl,sl,6
ja,wuu,5
zh_yue,ru,5
ro,tr,7
ca,th,7
ti,qu,5
fi,sq,6
gl,lt,6
lb,it,6
tt,no,6
et,hr,5
da,lb,8
als,sk,9
lt,el,7
eu,gv,5
gv,ca,8
ga,USA,7
ga,Canada,7
vi,th,5
war,bug,36
bug,ms,36
la,it,9
af,ga,5
eu,oc,6
szl,hy,6
id,tr,8
France,ug,6
Canada,ug,6
ug,ja,14
ru,ml,5
Sweden,pam,5
roa_tara,Spain,21
roa_tara,Mexico,21
sl,th,5
pl,koi,9
be,ja,5
USA,ug,17
Canada,ug,17
crh,de,13
France,ur,7
Canada,ur,7
ka,gl,6
simple,USA,8
simple,Canada,8
bcl,ar,5
tr,bn,6
ca,be_x_old,5
gan,China,6
it,sq,5
id,bg,10
France,zh_yue,8
Canada,zh_yue,8
simple,vi,11
Spain,ur,5
Mexico,ur,5
ms,hi,5
pt,ur,21
it,pnb,6
hsb,tt,5
ast,lt,5
sk,bs,7
af,yo,7
yo,ar,8
am,fa,7
vi,hy,6
mk,eu,8
eo,nds,6
sk,ar,6
bs,hr,7
tr,ms,5
sq,mk,9
lt,mk,6
io,oc,7
bn,ko,5
hy,sco,9
sco,af,5
sq,uk,8
uk,tg,5
pl,ku,7
France,tg,7
Canada,tg,7
pnb,bg,5
br,pcd,8
pam,pnb,15
ar,mwl,11
ka,kk,5
oc,France,6
oc,Canada,6
hu,is,7
af,mk,5
eu,sh,8
be,nn,5
vi,pl,6
is,de,7
USA,is,8
Canada,is,8
tr,lt,6
az,sco,7
is,USA,6
is,Canada,6
sh,mk,7
ne,vi,6
ja,eo,12
pms,ja,15
tl,hu,33
it,be,5
oc,fi,6
lt,hy,9
eu,hak,12
fa,be_x_old,5
oc,ja,6
sk,ka,5
fi,sl,8
ko,hr,7
sw,hu,5
az,ms,8
crh,fa,5
China,sah,6
pl,crh,6
crh,ru,5
jv,map_bms,6
id,cbk_zam,8
io,fa,6
id,ceb,6
ceb,hy,6
sh,tt,5
el,sco,5
id,sl,5
pam,oc,5
pt,an,16
tl,et,5
mrj,rw,8
rw,lbe,7
pnb,fa,6
sk,ja,15
id,ilo,5
de,ilo,6
ilo,id,7
tl,pt,8
io,sr,9
de,mr,5
pt,yo,5
simple,szl,5
USA,stq,5
Canada,stq,5
eo,io,12
xal,hsb,6
gl,sr,5
lv,ja,7
bs,el,5
is,cy,5
tr,diq,7
bat_smg,China,5
az,mk,5
ur,ar,7
pl,zh_yue,9
Spain,bn,5
Mexico,bn,5
id,lb,34
ny,tr,5
bn,id,13
ka,hu,5
vi,sh,6
ja,zh_yue,9
pcd,ms,13
USA,bo,7
Canada,bo,7
zh_yue,France,5
zh_yue,Canada,5
tg,ja,6
ja,ug,9
ug,France,14
ug,Canada,14
de,pcd,22
ms,el,7
ga,hy,5
fa,azb,6
war,az,7
pl,tg,10
it,zh_yue,8
ka,az,6
bat_smg,pl,25
hak,pam,12
ko,hak,9
war,hak,6
USA,hak,5
Canada,hak,5
ar,ka,5
he,vi,7
Spain,mwl,5
Mexico,mwl,5
co,la,6
arz,Spain,11
arz,Mexico,11
pa,war,10
la,bug,9
USA,mwl,5
Canada,mwl,5
vi,mn,5
gl,bn,5
Spain,is,6
Mexico,is,6
vep,bg,6
ka,ak,6
de,ur,6
ja,gan,5
la,bcl,32
bcl,Spain,16
bcl,Mexico,16
pms,no,17
ms,scn,42
ko,bar,6
ja,ki,14
ki,lmo,14
pms,ki,14
ki,Spain,31
ki,Mexico,31
cy,gd,7
io,ko,6
nn,pa,6
ur,el,6
pt,mwl,33
pt,min,30
it,ki,6
fa,th,5
hu,tg,5
pt,haw,8
sr,vi,11
pt,ky,14
hy,tl,5
sk,el,8
no,ast,5
ky,Netherlands,13
pt,zh_yue,16
bcl,bg,33
bg,lmo,32
an,pt,9
map_bms,min,67
min,su,46
ms,map_bms,49
