Country1,Country2,Weight,Geographical_Distance
Estonia,Trinidad and Tobago,5,8786.067689837211
Trinidad and Tobago,Spain,10,6372.472990230833
Vietnam,Malta,6,9298.89254324094
Singapore,Uzbekistan,6,5963.363387284414
Zambia,Mauritius,14,3247.0147497428484
Zambia,Georgia,14,12792.988930788579
Vatican City,France,11,991.0045331881425
South Africa,France,8,8670.232492493116
Croatia,Vatican City,27,463.4463100288435
Uzbekistan,Denmark,27,4147.268875945384
Estonia,Palestinian territories,23,3085.7232882721805
Vatican City,Zambia,8,6436.58793251908
Palestinian territories,Estonia,26,3085.7232882721805
Vatican City,Estonia,18,2078.1628055490287
Iceland,Denmark,9,1857.9788677918766
India,Vietnam,7,3157.4330577428886
Slovakia,Switzerland,74,867.4741888952717
Yemen,Vatican City,48,4409.179696217311
India,Estonia,6,5818.663277748642
Indonesia,Yemen,37,7967.076038439538
Vatican City,Vietnam,21,9289.068702712004
France,Vietnam,11,9916.507256253662
Yemen,Palestinian territories,13,2152.491671594591
Estonia,Singapore,43,9214.431749411126
Denmark,Zambia,28,7943.801738169978
Palestinian territories,Vietnam,21,7512.772579443736
Switzerland,Iceland,8,2571.007554249979
India,Indonesia,9,5070.1577239559565
Indonesia,Ukraine,38,9972.804940445809
Ukraine,France,16,2199.8258019503305
France,Vietnam,25,9916.507256253662
Vietnam,Vatican City,7,9289.068702712004
"Korea, North",France,54,16865.728203004226
Uzbekistan,France,30,4885.696419746073
Denmark,Estonia,32,966.586492150335
South Africa,Vietnam,18,10191.735763765997
Vietnam,Palestinian territories,23,7512.772579443736
Uzbekistan,Nepal,9,2318.9182081857575
"Korea, North",Denmark,11,15894.40033366837
Denmark,France,9,1167.1943859607888
Singapore,Estonia,32,9214.431749411126
Vatican City,Denmark,19,1538.6548302522292
Spain,Trinidad and Tobago,6,6372.472990230833
Uzbekistan,Yemen,48,3168.996944383872
Denmark,Vietnam,22,9029.085294995677
Georgia,France,15,7126.846529069856
Denmark,Switzerland,28,997.7247963577352
Denmark,Uzbekistan,18,4147.268875945384
France,Estonia,53,2064.3717943440374
Trinidad and Tobago,India,7,14305.28429350354
Vietnam,Palestinian territories,31,7512.772579443736
Denmark,Finland,14,1216.2543371521208
Slovakia,Finland,30,1662.6884730708862
Finland,Serbia and Montenegro,11,2236.3450536656087
Switzerland,Vietnam,23,9454.048390118443
Vietnam,India,9,3157.4330577428886
Croatia,Switzerland,29,595.7615603860958
Vatican City,Vatican City,11,0.0
Switzerland,Slovakia,46,867.4741888952717
Serbia and Montenegro,Slovakia,21,579.6797602406564
Vietnam,France,76,9916.507256253662
Zambia,Serbia and Montenegro,44,6483.0839904851355
Slovakia,Zambia,35,7052.346937549163
France,Vatican City,8,991.0045331881425
Spain,Indonesia,9,12956.478933473634
Indonesia,France,5,12172.180554599778
Switzerland,Croatia,32,595.7615603860958
Palestinian territories,India,6,4430.967706331291
Slovakia,Palestinian territories,5,2290.272923904895
France,Singapore,12,10810.20789919006
Vietnam,Serbia and Montenegro,32,8707.809919085605
Estonia,Ecuador,9,10977.912575349044
Ecuador,Switzerland,22,9934.43425324532
Switzerland,Ecuador,27,9934.43425324532
Ecuador,Zambia,9,11801.127198588361
Uzbekistan,Spain,16,5690.874742722736
Spain,Vatican City,9,1488.2237114548618
Vietnam,Switzerland,10,9454.048390118443
France,Vietnam,5,9916.507256253662
Serbia and Montenegro,Spain,8,2057.072293102796
Zambia,Spain,12,6844.596892310349
Estonia,Spain,38,3038.963648818923
Slovakia,Vietnam,11,8586.607858086478
France,Denmark,31,1167.1943859607888
Spain,Malta,7,1741.4790198454562
Uzbekistan,Trinidad and Tobago,10,11966.212022119575
Indonesia,Slovakia,17,10835.370001889998
Vietnam,Spain,17,10753.523340840331
Spain,Switzerland,24,1347.0414293006238
Uzbekistan,Croatia,16,3882.5130870270395
