Language,Vector
sewiki,"[-0.01549932 -0.13539311  0.30868638  0.34324044  0.16866931 -0.03146508
  0.27979517  0.01913765 -0.14867213  0.05149123  0.0031366  -0.40030837
 -0.4058594   0.02401075 -0.02712896  0.18665189  0.22892447  0.2268457
 -0.2951579   0.40751246  0.06606876 -0.2103124  -0.01469745 -0.15542784
  0.03643526 -0.07126044  0.07661994  0.11334906  0.421319    0.00618698
  0.12185002  0.2537693   0.3755639   0.18671505 -0.15289345  0.22402532
  0.04397316  0.36455902 -0.15349819 -0.16291988 -0.27745098 -0.08783478
  0.23887394 -0.47910428 -0.12156504  0.03761283  0.02175431 -0.00643079
  0.00108015  0.32726905 -0.1692802   0.00676442  0.26171136  0.00991596
 -0.02450082 -0.17558055  0.0271221   0.32605174  0.04128278  0.22112398
  0.2335492  -0.26530266  0.08903275  0.01344962]"
htwiki,"[-0.09314906 -0.06606255  0.18838862  0.25172645  0.07831132  0.01914982
  0.2574574   0.04414653 -0.25041175  0.07532433 -0.08772498 -0.10328601
 -0.09078862  0.05772109  0.0209858   0.284024   -0.10109576  0.08963536
 -0.09820934  0.17818972  0.0118052   0.20093547  0.15662743 -0.32091415
 -0.08432646 -0.05045249 -0.14707114 -0.07616814  0.07948212 -0.02608499
 -0.11857498  0.01339877  0.26063198  0.17946886 -0.15444972 -0.06239155
  0.06465413  0.21154368  0.02243049 -0.05033767 -0.20736617  0.01835203
  0.1902673   0.07720441  0.2609272  -0.15419291  0.254443   -0.16854165
 -0.27297187 -0.08479542 -0.23456062 -0.29732215 -0.01140247  0.22697678
  0.17855535 -0.09443266 -0.02904873  0.21725309 -0.14143008  0.5096931
 -0.01200144 -0.1423879  -0.08227934  0.07981046]"
lawiki,"[ 3.11872274e-01 -1.41879007e-01  1.23456463e-01  1.42674416e-01
 -1.56094223e-01 -2.49183908e-01  4.87164252e-05  2.28924043e-02
 -1.39399856e-01  2.85400357e-02  2.51344353e-01  3.92139144e-02
 -2.38980517e-01  7.30991066e-02  3.18259895e-01  1.49759695e-01
 -5.67987971e-02  3.24708581e-01  1.47359455e-02  1.36240706e-01
  1.55576959e-01  9.77578014e-02  7.70445541e-02 -2.73389906e-01
  8.45022406e-03  2.59615660e-01 -1.24740832e-01 -8.98358598e-02
 -1.37440458e-01 -9.54366028e-02  1.49315789e-01  2.53426045e-01
  7.52500668e-02 -2.67321412e-02 -9.10222158e-02 -1.13875814e-01
  6.84880465e-02 -1.79113131e-02 -9.52089131e-02  3.26729985e-03
 -1.82934448e-01 -1.47572249e-01  3.13550010e-02  9.39682126e-02
 -8.83160383e-02  2.42825776e-01  6.82643130e-02 -1.54965147e-01
 -2.05553800e-01  1.99866176e-01  6.42078742e-02 -6.37007803e-02
  9.20084566e-02  2.64126360e-02  1.49921477e-01  2.12018609e-01
  4.99687158e-02 -1.35834739e-02 -3.19092810e-01  2.69831479e-01
 -1.23133339e-01  5.38730919e-02 -1.77091599e-01 -2.02214755e-02]"
simplewiki,"[ 0.17949148  0.04213862  0.09753565  0.01231631 -0.0132053  -0.11166624
  0.17026626  0.01488825 -0.21002288 -0.03427647  0.16046542 -0.1843699
 -0.20873882 -0.0377056   0.05102815  0.08707199  0.23636852 -0.09000266
 -0.07448498  0.03645729  0.17400216  0.12536831  0.19824442 -0.22201021
  0.04271687  0.0640986  -0.11649151  0.08451211  0.00861848 -0.00388997
  0.0992919   0.15371798  0.00858938  0.1990668   0.02961087 -0.24592008
  0.01590521  0.06478601 -0.07517562  0.00769704  0.00174768  0.06261931
  0.23709822 -0.07045411  0.07753307  0.04229366 -0.03043001 -0.120092
 -0.15080969  0.09094056 -0.29544896 -0.18165824  0.17610623 -0.12414662
  0.2098297   0.2729495   0.11015645  0.01401682 -0.03042413  0.40737635
 -0.02945132 -0.07232336  0.06985878 -0.05248923]"
gawiki,"[ 0.02968024  0.06554222  0.2736199   0.19689524  0.07028341 -0.00110488
  0.09781949 -0.2949824  -0.2823459  -0.12047762  0.16970934  0.08112722
 -0.14747305 -0.08944413  0.1027981  -0.003313   -0.04651945  0.05193011
 -0.11938233 -0.06813539 -0.01019549  0.1903447   0.05396546 -0.16387054
 -0.16970627  0.16964778 -0.26209983  0.25111496  0.23740561 -0.06787981
 -0.09834381  0.2300517  -0.24395484 -0.10979011  0.00141434 -0.18070923
  0.09197217  0.03930089 -0.08365168 -0.06810137 -0.0750228   0.02333426
  0.12883429 -0.04227303 -0.03479124  0.01120008 -0.05267661 -0.08774711
  0.00834978 -0.05057568 -0.04555699 -0.13871203  0.24933472 -0.10017882
  0.3149184  -0.04477889 -0.01468284 -0.00655538 -0.2165814   0.34986055
  0.07690434 -0.08081127 -0.02329433  0.05680199]"
anwiki,"[ 0.12411284 -0.14589605  0.01424832  0.22971323 -0.21645379 -0.03863048
  0.24177223 -0.06268196 -0.11472172 -0.18099262  0.13757822  0.07315254
 -0.62435716  0.0162162  -0.0458995   0.07168578  0.06691643 -0.17734866
 -0.05381443  0.0595799  -0.1620402   0.18345296  0.07421768 -0.19853508
 -0.04450475  0.23637062  0.05042602  0.11759289 -0.16484892 -0.09045222
  0.26365808  0.13860206 -0.04443454 -0.1582246  -0.1676122  -0.09355382
 -0.02170568  0.07788111 -0.21232226 -0.22859004 -0.0928638  -0.04127765
  0.17954649 -0.13410585 -0.29245034  0.12758322 -0.14938378 -0.13111795
 -0.09741849  0.13388684  0.2099454   0.0579986  -0.16592783  0.08829345
  0.2479111   0.27741414 -0.01734424 -0.0483567   0.06511321  0.2700674
  0.3012376  -0.40744853 -0.07922389  0.17540298]"
azwiki,"[ 0.21729916  0.28806013  0.18580666  0.19501702  0.08725177 -0.21961279
  0.01975836 -0.2258021   0.00221524 -0.18300264  0.06775272 -0.03520551
 -0.31634194 -0.06867748 -0.1270579   0.227345    0.04700615  0.08943871
  0.12824409 -0.00867286  0.17758127  0.22801284  0.02602642 -0.16060007
 -0.21861644  0.39063197 -0.06241006 -0.14533147  0.18293604 -0.09829375
  0.02466922  0.1972835  -0.23031248 -0.05593273 -0.11631139  0.21790317
  0.10531879  0.08732619 -0.1517552  -0.10142057  0.22870748  0.0099082
 -0.06414664 -0.00537711  0.18356878  0.04644106  0.00725939  0.14367256
  0.02051966 -0.02895117 -0.10028948 -0.26241952 -0.04679098  0.32150728
  0.02103714  0.03375766  0.08664438 -0.2364161  -0.00785193  0.13288592
  0.14858793 -0.11100377 -0.13243082  0.02089873]"
kwwiki,"[-0.16921766  0.0190362  -0.07915474 -0.02829002  0.28426924  0.02241011
  0.30573797 -0.49005735  0.05994879 -0.17369044 -0.18676494  0.15406981
 -0.36845976 -0.1551707   0.01100111  0.38690245 -0.01309828 -0.25673604
 -0.2826842  -0.01226435 -0.08079687  0.34443417  0.1566693  -0.3362717
  0.00074603  0.4460491  -0.08715971  0.13672554 -0.15654618 -0.20712438
  0.01164229  0.00330444 -0.07646716 -0.01132692 -0.00665815  0.04813737
 -0.08518911 -0.33768427  0.02332487 -0.47869328  0.06826876 -0.02584925
  0.03767148 -0.11881466  0.11092807 -0.11996827 -0.2275459  -0.07990596
  0.07977838  0.49901968  0.10250457 -0.08885873  0.4044882  -0.03745626
  0.29621765  0.02205976  0.17052445  0.15709193  0.18647219  0.20786437
  0.03184675 -0.40929246 -0.34840944  0.06997494]"
tgwiki,"[-2.0102572e-02  1.7274861e-01  1.5071896e-01  3.3580080e-01
 -4.3237455e-02  2.8006399e-02  1.2016358e-01 -2.4636437e-01
 -1.5463872e-01 -7.5474873e-02 -4.4958442e-02 -4.1966054e-01
 -5.1777162e-02 -9.6263587e-03  2.2991680e-01  2.2014792e-01
  1.9663158e-01  2.0308612e-01 -1.4137591e-01 -1.5725894e-02
  2.6680517e-01  3.0168846e-01 -2.5648337e-02 -1.6375622e-01
 -1.3322711e-01  1.7665109e-01 -4.4098583e-01  1.1793146e-01
  4.5480859e-03 -2.0176218e-01 -9.6283510e-02 -3.5662958e-01
  5.2697585e-05 -9.6230276e-02  2.0920506e-01 -3.5242251e-01
  2.8875628e-01  1.5572503e-01 -1.8523307e-01  2.2238044e-02
 -4.9005292e-02 -4.1787294e-01  3.1835255e-01  6.7461364e-02
 -1.9103968e-01  8.8088937e-02 -6.9278471e-02 -1.9097811e-01
 -1.5777509e-01  1.0740341e-01 -2.8675047e-01 -3.9299570e-02
 -2.4636075e-01  2.1531951e-01  1.8056825e-01  9.4438605e-02
 -5.5172063e-02  1.2366453e-01 -9.2933521e-02 -1.7883815e-02
 -9.3127452e-02  6.7085102e-02 -2.3440903e-02 -7.9861812e-02]"
ilowiki,"[ 0.0804582   0.00599028 -0.05260853  0.06265572 -0.05837003 -0.16647604
  0.22679843 -0.29389378 -0.59286654 -0.1049936  -0.01694448 -0.05428249
  0.08785806  0.02285814  0.20215578  0.3378634   0.13403994  0.3946591
 -0.18774976  0.17103723 -0.3374499   0.24041538  0.13394721 -0.16128294
  0.17864819  0.10615952  0.13513109  0.3089204   0.24067073 -0.5410565
  0.14866026 -0.41162378 -0.17278628 -0.03004882  0.33466023 -0.14477718
  0.3156612   0.04283899  0.0032311   0.6817188   0.29285944 -0.25466335
  0.13809821  0.42482805 -0.38834238  0.14322259  0.15773556 -0.23707096
  0.2857349  -0.22504409 -0.55349106 -0.02185269  0.2784116   0.06063933
  0.13286708  0.59423584  0.13422433 -0.13957901 -0.44609925 -0.05199284
  0.00140045 -0.5713131  -0.15092054  0.03656476]"
pmswiki,"[-0.18903077 -0.2853778   0.09787837  0.16691376  0.29150486  0.27040684
 -0.36434042  0.3002904  -0.3328008  -0.26616824  0.15269504  0.23646611
 -0.1903567   0.11861055  0.21181144  0.08078581  0.21839428  0.26795566
 -0.18849309  0.16931675  0.2080373   0.5832082   0.06428724 -0.27665457
  0.1433149  -0.01463982 -0.27851722  0.11938658  0.09536597 -0.16571401
  0.1395403  -0.39546132  0.4808042   0.21826309  0.05073006 -0.07305226
  0.3676604   0.01663999 -0.04099055 -0.28603867 -0.10980048  0.01402086
  0.1204014  -0.05870352 -0.03558403 -0.18556647 -0.24913368 -0.08483753
 -0.07466527  0.40612963 -0.21600942 -0.14853886  0.02479607  0.2041286
 -0.20415719  0.19334395  0.40236184 -0.20095393 -0.32866302  0.21628639
 -0.16099751  0.08546974 -0.25188428  0.4149977 ]"
novwiki,"[ 0.09054821 -0.3858093   0.5856204   0.23730938  0.5078133   0.02789954
 -0.84024024  0.59979236 -0.34875298 -0.3911397   0.39202952  0.48301867
 -0.3774869  -0.00903654 -0.2703133   0.14562468  0.2986245   0.26766536
  0.06784073  0.10454234  0.04571908  0.74082917  0.29756594 -0.40354916
  0.14246762 -0.541355   -0.7713596   0.05768962  0.437781   -0.25180256
  0.06597161 -0.51106757  0.8780063  -0.07082428 -0.29160684  0.57878166
 -0.00887586  0.03963827  0.19133978 -0.3571462   0.54638314 -0.13346808
 -0.3134966  -0.1957848   0.7371363  -0.08516348 -0.37797695  0.08262298
 -0.21082455  0.77344346 -0.17840716  0.32088155  0.30545518  0.37761453
  0.01984926  0.18458185  0.0757966  -0.33856595 -0.0344848  -0.15677848
  0.32675073 -0.35853514 -0.60295933  0.5870064 ]"
kowiki,"[-0.07494014  0.04794588  0.2347501   0.20333777 -0.0711208  -0.16352338
  0.05918203 -0.07804747 -0.28173417  0.01301014  0.02760377  0.01542512
 -0.21189854 -0.1153881  -0.2877939   0.10010428  0.08032554  0.12288389
 -0.1429307   0.08014643  0.02960795  0.0355856   0.27042902  0.06307618
 -0.13987488  0.3038106  -0.09225968 -0.12341624 -0.00144861 -0.03745556
  0.07596114  0.00819278 -0.12880518  0.05308056  0.1901887  -0.03733863
  0.2843373   0.18191044  0.01910113  0.04834185 -0.16271734 -0.01093568
 -0.01721713 -0.21026832  0.3772416   0.06852818 -0.1284921  -0.15417853
  0.3081454   0.13555133 -0.14125973 -0.12092875  0.2493354   0.22038902
  0.20216912  0.05656305  0.12026051  0.12352026 -0.06587018  0.07569417
  0.21904399 -0.03604413  0.11601377 -0.12409365]"
hiwiki,"[ 0.02459295 -0.01618653  0.17748025  0.1957069   0.1973934   0.11159127
  0.00327496 -0.23070648 -0.13666245 -0.08135299  0.16618614 -0.44130987
 -0.48073563 -0.03949264 -0.17807066  0.12171562  0.05623532 -0.01357019
  0.24874303  0.22104305  0.20998599  0.03712077  0.04792032 -0.27482536
  0.18607514  0.40604362 -0.17918314  0.3277882   0.23856045  0.13004734
  0.14094798  0.00583435  0.01975038  0.3350228  -0.1020725  -0.2008136
 -0.21028028 -0.10664403  0.06226331  0.21296005  0.00070212  0.06504756
 -0.00878452  0.12114452 -0.02277359  0.03187219 -0.05469485  0.1532328
  0.04320672 -0.1560668  -0.25780627  0.09033242  0.09162857  0.41208205
  0.05463118 -0.17721295  0.20521204 -0.08804768 -0.02695544  0.3113286
  0.0023337  -0.15347494 -0.02492515  0.0046369 ]"
kkwiki,"[-0.06489926 -0.00382403  0.4306359  -0.30780658  0.20328392 -0.12683062
 -0.08529785 -0.17392275 -0.06203954 -0.08664279  0.19657163  0.05015574
 -0.12006807 -0.2842983  -0.21922441  0.28625736  0.38165703 -0.4165871
  0.17519672  0.03594272 -0.15539292  0.64529574  0.36520636 -0.5020223
  0.1771355   0.38157704  0.5775796   0.0736694   0.07181459 -0.17855227
 -0.20018415  0.05074595  0.08135467 -0.01364384  0.26326734 -0.10089842
  0.16856106  0.20416659 -0.5304412   0.2733346   0.26687223  0.21372817
 -0.2618882  -0.23500854  0.20652212  0.09372741 -0.10495026  0.07896377
 -0.20132469 -0.05699959 -0.15212476 -0.19170071  0.03845338  0.44076788
  0.62731487 -0.65514123 -0.3384452  -0.09918936 -0.03872865  0.4217139
 -0.39632186 -0.25466153 -0.307965    0.2265976 ]"
ugwiki,"[ 0.03038857  0.38517585 -0.12865192  0.6335453   0.04948394 -0.6528995
  0.09521569 -0.30850437 -0.360947    0.03619878  0.04990128  0.01799554
 -0.05089338 -0.384719    0.26809764 -0.03252646  0.2454141  -0.17874001
  0.06712735  0.15487975  0.2794113   0.48298687  0.2325108  -0.70329183
 -0.3677258  -0.22081615 -0.10700849  0.08085024 -0.04552007 -0.02058017
  0.16665432 -0.13785866  0.1797025  -0.1364809  -0.39565825  0.06396332
  0.41615584 -0.05438304 -0.08531777 -0.13402015 -0.49559486 -0.22860588
  0.0036803   0.08636675 -0.22104535 -0.18580638  0.13877739 -0.08830782
  0.08255737  0.45786557 -0.18077348 -0.19450237 -0.02129286  0.18417187
  0.33871555 -0.41404337  0.11604663 -0.48617107  0.21205859 -0.42902216
  0.15529333  0.02527012 -0.17451392  0.01105801]"
diqwiki,"[-0.02269649  0.11134299  0.10291458  0.4415981  -0.2763033  -0.1448898
 -0.0854113  -0.44058022 -0.27317524 -0.00093608 -0.09428161 -0.04643695
  0.19620341 -0.1881041   0.02420884 -0.0029369  -0.01281653 -0.15480004
 -0.06139847  0.01820211 -0.14469017  0.4125474  -0.01888893  0.06705386
  0.5783907   0.13461702 -0.12502196 -0.50362444 -0.04831937  0.06455521
  0.25926727 -0.10486253  0.03421206  0.16141978 -0.39785233 -0.09775548
  0.14374182  0.30630684  0.0017792   0.17986952 -0.11787713 -0.20546196
  0.15601853  0.06648546 -0.1781483  -0.10516658 -0.17640181 -0.2000766
  0.03619267  0.38606718 -0.2998028  -0.76697767  0.38554448  0.33076194
 -0.06578416 -0.2023605   0.03187367 -0.37558496  0.11735559  0.2170834
  0.27104655 -0.30206633 -0.1949261   0.10658611]"
crhwiki,"[-0.06529906  0.03695007  0.1071751   0.29349518 -0.06638905 -0.2017847
  0.41864768 -0.3464224  -0.31859604 -0.07189599  0.24151684 -0.17911641
  0.06623957 -0.11274949  0.07996082  0.58560234  0.12253175 -0.15067354
  0.08468535  0.11484903 -0.41306695  0.12984766  0.08755878 -0.17487577
 -0.01633054 -0.1966308   0.04223385 -0.07654446  0.27195457 -0.10928025
  0.048021   -0.08226738 -0.06428689  0.25512934  0.04701382  0.3596985
 -0.09201374  0.10796688 -0.37661314  0.02669386 -0.07384332 -0.43288133
  0.24585034 -0.17670868  0.13267963 -0.39492014  0.34402663 -0.43721834
  0.17902118  0.10938918  0.01820066  0.05731813  0.04524447  0.24423356
  0.14603971  0.11229941  0.06556916 -0.6585778   0.04534806  0.32782653
  0.420014    0.14721431 -0.15182537 -0.34177014]"
dvwiki,"[ 0.46790886 -0.08824914  0.37242612 -0.09305353 -0.10578233  0.0852159
  0.46738106 -0.44151354 -0.563108   -0.00895864 -0.07994674 -0.4448166
 -0.05283764 -0.25348705  0.19391175  0.47785962 -0.04967641 -0.43287134
  0.24369054  0.41129002 -0.3372809  -0.15557249 -0.0621716  -0.5855945
  0.15695749  0.07078223 -0.05307684 -0.40790942 -0.00442095 -0.6929257
 -0.28593552  0.12103056  0.3585229   0.37084624 -0.04651378  0.4571604
 -0.07263906 -0.06895723 -0.63214463  0.4048104  -0.2741029  -0.59019226
  0.14790371  0.53821164 -0.07935871 -0.35728723  0.04674478 -0.51325583
  0.54103833  0.44495267 -0.21780585 -0.10655081  0.38448676 -0.24706812
 -0.11582421  0.01412285  0.21410838 -0.50200236 -0.28301874  0.06461572
  0.48241267 -0.23963268 -0.09236447  0.0770082 ]"
quwiki,"[ 0.01827463 -0.45450613  0.16156411  0.17912397 -0.08527003 -0.03866827
  0.09404384 -0.37996283 -0.0897055  -0.25262186 -0.3068404  -0.42738292
 -0.2785623  -0.15883838 -0.25772333  0.5128376   0.19150731 -0.32289135
  0.44015157 -0.22132564 -0.20821771 -0.07109132 -0.10659683 -0.36824754
 -0.01876912 -0.00482874  0.14356647 -0.16554596  0.03479013 -0.12545997
 -0.02861592 -0.21190332  0.20296825  0.2972047  -0.37795186 -0.5198439
  0.41036856 -0.10423799 -0.24836369  0.12641887 -0.38434306 -0.29732233
  0.31681648 -0.28796422 -0.01013624 -0.33530608 -0.29721674 -0.13607134
  0.26880452 -0.0242359   0.0944609  -0.4106906   0.10728843 -0.2178803
  0.33584046  0.29303965  0.01886096 -0.41551554 -0.02132187  0.21430323
  0.12436065  0.30759785  0.02469294  0.02212921]"
vecwiki,"[ 0.2845343  -0.49555546  0.07477941 -0.11600795  0.05842548  0.20023893
 -0.37531036  0.32378793 -0.2948595  -0.22001724 -0.13679266  0.28260422
 -0.51532024 -0.14735393  0.22163083  0.16652334  0.24318606  0.66905177
 -0.16478774  0.17467822 -0.31136465  0.73234993  0.05936161  0.03952551
 -0.18852603 -0.07646283 -0.16577551  0.31620145  0.2673817  -0.20562792
 -0.06526543 -0.0133275   0.24164413 -0.15316872 -0.32487267 -0.10804948
  0.12364674  0.22266689  0.06955899 -0.08332377 -0.16970043 -0.4480542
  0.16443023  0.1980485  -0.0304447  -0.3982287  -0.11285785 -0.01765009
 -0.08470204  0.26279247  0.01231872 -0.11565279  0.26933694  0.26973313
  0.2921054  -0.05893843 -0.01904887 -0.06712217  0.28177208  0.16203116
  0.01063186  0.1879483  -0.33055484  0.04414928]"
iewiki,"[ 0.41209877 -0.12482013  0.20956764 -0.23564553  0.54799134  0.2241244
 -0.13854726  0.4394615  -0.38397974  0.15014404 -0.26044455  0.24214876
 -0.17299859 -0.44442353  0.6520888   0.07870543  0.71898174  0.59104085
 -0.02601269  0.15371923 -0.27014503  0.49577004 -0.18320598  0.0141462
 -0.22428134  0.702855    0.22904474  0.0553344   0.5469965  -0.22405234
  0.07379785 -0.29193535 -0.03847029  0.0892511  -0.61985517  0.10739745
  0.07469337  0.51524115 -0.03644163 -0.89275736 -0.10941505 -0.22502497
  0.666698    0.6219923   0.16202869 -0.8036749   0.35576534 -0.15928288
 -0.25135103  0.249148    0.21980143 -0.07747895 -0.15086551  0.3051594
  0.35198525 -0.25413162 -0.02927155  0.1039023  -0.08211943  0.29535815
  0.2638434  -0.0930944  -0.3143046   0.15575749]"
scnwiki,"[-0.01532269 -0.2640013   0.1871651   0.27026504  0.20813961 -0.1946701
  0.32692197 -0.2828592  -0.22461651 -0.02759285 -0.09244969  0.11934603
 -0.07638119  0.05033881 -0.19250832  0.56244177  0.05486354  0.09929756
 -0.778245    0.51640075 -0.06102474  0.11681526  0.41219348 -0.07473445
 -0.12488101  0.3016622  -0.32700512  0.15656005 -0.24834181 -0.03329454
  0.12604237  0.1427642  -0.11492919  0.21251775 -0.0598709   0.07844935
  0.11311809  0.17345509  0.14567643  0.06732743  0.15613158  0.31180853
  0.18968613  0.21483965  0.12973115 -0.3981763  -0.35431457 -0.0268073
  0.3022893  -0.53779006  0.08871249 -0.42351675 -0.63243306  0.3165382
 -0.26034003  0.21158652 -0.13388953 -0.18957976 -0.12259021  0.3075005
 -0.00216051  0.04920192  0.057346    0.25456572]"
nahwiki,"[-0.32179624  0.5214036   0.5497696   0.41245335  0.24308427  0.0318914
  0.26898047  0.15255119 -0.32127455  0.2423495  -0.24808753  0.12453264
 -0.44173703 -0.15084216 -0.2455984   0.89439803 -0.3863871  -0.09893241
 -1.0144461   0.7760941  -0.47493693 -0.0225757  -0.09973665 -0.34357533
 -0.15881452  0.0838675  -1.0729574   0.00410896 -0.37606695  0.10234634
  0.20026828  0.08495057  0.00375505  0.03757552  0.10808338  0.16443771
 -0.00719791  0.2007742   0.01111567 -0.16384804  0.26816526  0.3841958
  0.15168318 -0.17545283 -0.41908035  0.02101352 -0.26076666 -0.05733747
  0.33156887 -0.9355975   0.6121451  -0.1684118  -0.27550375  0.54709727
 -0.11279702  0.11270635  0.25427404 -0.29236174 -0.21603906  0.5925919
 -0.23665927  0.5096081  -0.16070929  0.31841007]"
tswiki,"[ 7.75593817e-02 -3.27360511e-01  1.16836235e-01 -3.44269685e-02
  5.88011920e-01  1.57095879e-01  1.90289497e-01 -4.08694088e-01
 -7.37832561e-02  5.80223240e-02 -9.99298394e-02 -2.23005354e-01
  1.20066479e-01 -1.39070511e-01  1.80038009e-02  2.94787019e-01
  2.76768338e-02  1.13866910e-01 -1.35319552e-03  7.18405008e-01
  2.54947960e-01 -6.28309324e-02  1.19728349e-01  1.04673862e-01
 -2.58982003e-01  5.79933882e-01 -4.46655899e-01 -3.87742400e-01
  5.15105307e-01 -4.13572967e-01 -4.08262283e-01  3.33390236e-01
 -5.85417509e-01  5.67034304e-01 -3.30370128e-01 -5.32679027e-04
  5.38237154e-01  8.15300345e-02  2.14882731e-01 -4.07228976e-01
  1.09129377e-01 -4.82381254e-01 -1.77664444e-01  1.91122502e-01
  1.51684105e-01 -1.22587889e-01  1.66833356e-01 -5.82061484e-02
  1.30162105e-01 -1.32970214e-01  6.06102526e-01  2.06138194e-01
  9.67505109e-03  6.38830364e-01  2.90684611e-01  4.02571380e-01
 -1.56612352e-01 -4.12223130e-01 -4.33853328e-01 -1.72761694e-01
  2.86091924e-01  5.42688131e-01 -4.27514285e-01  5.70009828e-01]"
be_x_oldwiki,"[ 0.29217386 -0.04905271  0.2247599  -0.26723894  0.13847551 -0.07525154
  0.12662101 -0.08323544 -0.3203604   0.11816709 -0.05395453 -0.06287331
 -0.14861993 -0.0687325   0.12298278  0.2129111   0.15103896  0.06269092
  0.06117836  0.01990034 -0.37500235  0.1841496   0.1908094   0.01653744
 -0.1021393   0.37017456 -0.2514119  -0.3692219   0.05049106 -0.17509124
 -0.12879598  0.10227568 -0.2469157   0.13676329 -0.3507129  -0.22205228
  0.10484914  0.28305736 -0.25756127 -0.1454308   0.1242566   0.13342261
  0.2070767   0.06157008 -0.09968691 -0.27994874 -0.1433652  -0.06072729
 -0.02209164  0.31040308 -0.10389402 -0.04798091  0.07864908  0.15707488
  0.02076875  0.01970298  0.030718   -0.17910191  0.02335402  0.01037665
  0.20876203 -0.04745922 -0.00754214 -0.17508046]"
gvwiki,"[ 2.01649278e-01 -4.43726450e-01  1.02084689e-01 -7.70746777e-03
  3.34803611e-01 -3.90847661e-02  5.68902753e-02 -6.77146912e-01
  2.93008327e-01  1.18807226e-01  2.55715456e-02 -4.67089236e-01
 -2.94711500e-01 -1.00026384e-01 -3.06525081e-01 -1.20906405e-01
  1.14390887e-01 -8.03485438e-02  5.67652136e-02  2.20261395e-01
 -1.28472552e-01  4.24143106e-01  2.80847281e-01 -4.63967770e-01
  5.34209721e-02  1.12182125e-01 -3.70021015e-01 -4.37286973e-01
  4.10783410e-01 -5.26592076e-01 -1.19967915e-01  1.13263488e-01
 -2.63744108e-02 -5.53686559e-01  1.65743113e-01 -4.62269001e-02
 -2.43954673e-01  2.25720227e-01 -1.81494690e-02 -9.09158662e-02
 -3.34996969e-01 -3.94958891e-02 -1.77374855e-02 -4.66344953e-01
 -8.81160870e-02  4.94139522e-01 -2.14415807e-02  4.78487700e-01
 -1.02436140e-01 -1.06869610e-02 -3.74909908e-01 -1.97102234e-01
 -4.38152313e-01  5.17874472e-02  1.76565815e-02  5.56478858e-01
 -6.34673925e-04 -1.30928338e-01 -5.63780665e-02  8.55634212e-02
  1.99833021e-01 -1.71530619e-01 -1.52427005e-02 -2.23282557e-02]"
cebwiki,"[-0.35872138 -0.29372182  0.05561998 -0.06494118 -0.11133475 -0.16832034
  0.23655261  0.03402814 -0.11691697 -0.18218046  0.11979858 -0.31257945
 -0.34120938  0.01153281 -0.25826377  0.10339872  0.07830711  0.07024617
 -0.00316292  0.32817966 -0.11006065  0.43628597  0.03232909 -0.45917168
 -0.08814622  0.14179224 -0.07077187 -0.12344611  0.26504898 -0.45730892
 -0.05681715  0.13880113 -0.31622365 -0.26807535 -0.2379152  -0.12164604
 -0.3666773  -0.35689345 -0.01614862 -0.26470014 -0.22185338  0.1017579
 -0.04603302 -0.18227486  0.22342312  0.21287163 -0.03878339  0.13133153
  0.05715539  0.10557958 -0.34899047 -0.29303464 -0.23452397 -0.12635693
 -0.01991328  0.20276168  0.30210322 -0.00829487  0.1043727   0.10773073
  0.11638443 -0.01203526 -0.28708988  0.05221342]"
sahwiki,"[-0.29242504  0.12564181  0.3419022  -0.36327773 -0.09427972 -0.03018872
  0.1857828   0.11469852 -0.01975276 -0.40441826  0.3549859  -0.07805993
 -0.15772262  0.03521642 -0.31103215  0.19802415 -0.32968664 -0.18019032
 -0.4702553   0.15078618 -0.07801888  0.15897754 -0.26308396  0.02486356
 -0.34541363  0.5334435   0.1600063  -0.01481959 -0.22585528 -0.29118988
 -0.30056044  0.43243355  0.13656346  0.16620499 -0.4641966   0.5839801
  0.69363654  0.89983875 -0.2619991   0.28108424 -0.28793743  0.3153435
  0.8589821  -0.1340548   0.1418747   0.00418318  0.05437453  0.10926057
 -0.32381704  0.365317   -0.46931222  0.0332227  -0.08789576  0.09076719
  0.24886286  0.34870625  0.22959657 -0.29888573  0.03914565  0.5016092
 -0.11384432  0.24572493 -0.16039936  0.43411937]"
